_key,username,location,postcount,likes,keyword,gender,identity,marriage,region,risk_appetite,education,revenue,deposit,debt,intended_products,label
136,6F9,"Bilbao, España",5447.0,4278.0,0.9330037236213684,,,,,,,,,,,
137,332,"south wales, uk",410.0,14.0,0.8190192580223083,,,,,,,,,,,
138,8C2,,2732.0,344.0,1.022291213274002,,,,,,,,,,,
139,ea5,rio,752.0,64573.0,1.1313428580760956,,,,,,,,,,,
140,0d1,,145.0,1119.0,1.1568318009376526,,,,,,,,,,,
141,521,,1.0,0.0,0.772196888923645,,,,,,,,,,,
142,5f3,Guayaquil,1.0,0.0,1.1117319613695145,,,,,,,,,,,
143,b9c,,13.0,0.0,1.0177441462874413,,,,,,,,,,,
144,440,,1.0,0.0,0.0,,,,,,,,,,,
145,571,,3.0,1.0,1.1101986542344093,,,,,,,,,,,
146,214,,1.0,0.0,0.0,,,,,,,,,,,
147,E40,707 Vallejo Ca. Bay Area ,38050.0,12708.0,0.8426777273416519,,,,,,,,,,,
148,58b,,1.0,0.0,0.9752776343375444,,,,,,,,,,,
149,6B9,رأس الخيمة,26.0,470.0,1.049307532608509,,,,,,,,,,,
150,02c,بيتنا🙄,2874.0,159.0,0.9150636196136475,,,,,,,,,,,
151,756,,1.0,0.0,0.908938817679882,,,,,,,,,,,
152,089,,1.0,152.0,0.9239933490753174,,,,,,,,,,,
153,03a,,397.0,372.0,0.936392031610012,,,,,,,,,,,
154,E61,JAPAN,22444.0,6091.0,0.7818336486816406,,,,,,,,,,,
155,b1b,,1.0,0.0,1.0458035618066788,,,,,,,,,,,
156,Da2,,1.0,0.0,0.9171829372644424,,,,,,,,,,,
157,2D6,,2079.0,20.0,0.9072056412696838,,,,,,,,,,,
158,35c,,8.0,27.0,0.9665248915553093,,,,,,,,,,,
159,819,JPN.,5262.0,1460.0,0.9663927555084229,,,,,,,,,,,
160,b46,,13.0,27.0,0.7157779037952423,,,,,,,,,,,
161,A2C,shibuya tokyo japan,522.0,24.0,0.8732388615608215,,,,,,,,,,,
162,ca6,,2.0,0.0,1.0562841482460499,,,,,,,,,,,
163,E82,,53.0,15.0,1.0237490385770798,,,,,,,,,,,
164,5D3,San Juan de Pasto,18.0,19.0,1.046275645494461,,,,,,,,,,,
165,915,beijing,7.0,0.0,1.2776650786399841,,,,,,,,,,,
166,2b5,,2.0,0.0,1.2025681734085083,,,,,,,,,,,
167,cde,,1.0,0.0,1.0191331803798676,,,,,,,,,,,
168,217,,21.0,13.0,1.0479607284069061,,,,,,,,,,,
169,72c,,7.0,0.0,0.8634691834449768,,,,,,,,,,,
170,2ca,,161.0,7.0,1.1137671396136284,,,,,,,,,,,
171,e28,,1.0,0.0,0.0,,,,,,,,,,,
172,F4F,,1759.0,119.0,1.0479607284069061,,,,,,,,,,,
173,2CC,"Canberra, Australia",52766.0,1624.0,0.7648441940546036,,,,,,,,,,,
174,049,,38.0,2.0,0.9727886505424976,,,,,,,,,,,
175,376,,2.0,0.0,0.9480742812156677,,,,,,,,,,,
176,1bc,Palm Beach,367.0,12597.0,1.0348711609840393,,,,,,,,,,,
177,CB2,"Chicago, IL",17459.0,3620.0,1.1073223799467087,,,,,,,,,,,
178,4be,Madhya Pradesh,48.0,0.0,0.9171829372644424,,,,,,,,,,,
179,BC1,British Columbia,83010.0,111.0,0.8239004611968994,,,,,,,,,,,
180,D66,Nederland,26467.0,6737.0,1.1173753589391708,,,,,,,,,,,
181,d99,Indonesia,7748.0,230.0,0.8862604200839996,,,,,,,,,,,
182,4e1,south korea,1.0,0.0,1.210122674703598,,,,,,,,,,,
183,4EC,"Redlands, CA",10.0,6.0,1.1295050084590912,,,,,,,,,,,
184,FCA,"Manhattan, NY",3554.0,256.0,1.1135225743055344,,,,,,,,,,,
185,996,,1.0,0.0,0.7906570881605148,,,,,,,,,,,
186,C2E,"Dallas/Ft. Worth/Midlothian,TX",17213.0,1951.0,1.1081310883164406,,,,,,,,,,,
187,431,Amsterdam,687.0,2.0,1.080132357776165,,,,,,,,,,,
188,610,,1.0,0.0,0.9260870814323425,,,,,,,,,,,
189,F91,新潟県　中越,81.0,0.0,0.971506729722023,,,,,,,,,,,
190,978,Taiwan,95.0,0.0,1.3088935017585754,,,,,,,,,,,
191,099,,1.0,0.0,0.0,,,,,,,,,,,
192,ead,SF | NY,845.0,6371.0,0.859218567609787,,,,,,,,,,,
193,196,,1.0,1.0,0.91897352039814,,,,,,,,,,,
194,acf,"France, Spain, USA, UK, Canada, Spain, Germany, Italy + nearly 50 countries around the world.",6924.0,0.0,0.868925467133522,,,,,,,,,,,
195,bf5,,14.0,1077.0,0.9786563478410244,,,,,,,,,,,
196,4ed,,24.0,0.0,1.052691861987114,,,,,,,,,,,
